t	x	y
-----------------------
0	1.571	2.356
0	1.571	2.356
0.01	1.571	2.35517
0.02	1.571	2.35353
0.03	1.571	2.35108
0.04	1.57099	2.3478
0.05	1.57097	2.34371
0.06	1.57093	2.3388
0.07	1.57087	2.33308
0.08	1.57078	2.32654
0.09	1.57065	2.31918
0.1	1.57046	2.31101
0.11	1.57021	2.30202
0.12	1.56988	2.29222
0.13	1.56945	2.28161
0.14	1.56891	2.27018
0.15	1.56825	2.25794
0.16	1.56743	2.24488
0.17	1.56645	2.23102
0.18	1.56528	2.21634
0.19	1.5639	2.20086
0.2	1.56229	2.18457
0.21	1.56042	2.16747
0.22	1.55827	2.14956
0.23	1.5558	2.13085
0.24	1.553	2.11134
0.25	1.54984	2.09103
0.26	1.54628	2.06992
0.27	1.54231	2.04802
0.28	1.53789	2.02531
0.29	1.53299	2.00182
0.3	1.52759	1.97753
0.31	1.52165	1.95246
0.32	1.51516	1.92659
0.33	1.50808	1.89994
0.34	1.50039	1.87251
0.35	1.49207	1.84428
0.36	1.4831	1.81528
0.37	1.47346	1.78548
0.38	1.46314	1.7549
0.39	1.45213	1.72353
0.4	1.44041	1.69136
0.41	1.428	1.65839
0.42	1.41489	1.62461
0.43	1.4011	1.59002
0.44	1.38663	1.5546
0.45	1.37152	1.51833
0.46	1.3558	1.48121
0.47	1.33952	1.44321
0.48	1.32272	1.40431
0.49	1.30546	1.36447
0.5	1.28783	1.32368
0.51	1.26991	1.28188
0.52	1.25181	1.23905
0.53	1.23364	1.19512
0.54	1.21554	1.15005
0.55	1.19768	1.10377
0.56	1.18021	1.05621
0.57	1.16336	1.0073
0.58	1.14733	0.956941
0.59	1.13238	0.905047
0.6	1.11878	0.85151
0.61	1.10686	0.796215
0.62	1.09694	0.739042
0.63	1.08941	0.679857
0.64	1.08468	0.618524
0.65	1.0832	0.554898
0.66	1.08543	0.488834
0.67	1.09191	0.420183
0.68	1.10319	0.3488
0.69	1.11983	0.274548
0.7	1.14244	0.197298
0.71	1.17164	0.116939
0.72	1.20806	0.033379
0.73	1.25229	-0.0534482
0.74	1.30492	-0.14358
0.75	1.36643	-0.23702
0.76	1.43721	-0.333738
0.77	1.51746	-0.433669
0.78	1.60711	-0.536713
0.79	1.70581	-0.642739
0.8	1.81277	-0.751586
0.81	1.9268	-0.863061
0.82	2.04626	-0.976936
0.83	2.16917	-1.09293
0.84	2.29329	-1.21064
0.85	2.41614	-1.32953
0.86	2.53515	-1.44888
0.87	2.64782	-1.56788
0.88	2.75196	-1.68574
0.89	2.84592	-1.80175
0.9	2.92866	-1.91527
0.91	2.99969	-2.02577
0.92	3.05909	-2.13284
0.93	3.10732	-2.23622
0.94	3.14512	-2.33576
0.95	3.17344	-2.43146
0.96	3.19334	-2.52344
0.97	3.20588	-2.61196
0.98	3.21216	-2.69735
0.99	3.21321	-2.78005
1	3.21002	-2.86055
1.01	3.20353	-2.93935
1.02	3.19459	-3.01701
1.03	3.18403	-3.09406
1.04	3.17264	-3.17106
1.05	3.16119	-3.24856
1.06	3.15045	-3.32709
1.07	3.14123	-3.40721
1.08	3.13437	-3.48946
1.09	3.13076	-3.57435
1.1	3.13138	-3.66241
1.11	3.13729	-3.75413
1.12	3.14965	-3.84995
1.13	3.1697	-3.95028
1.14	3.19877	-4.05542
1.15	3.23822	-4.1656
1.16	3.28944	-4.2809
1.17	3.35377	-4.40127
1.18	3.43236	-4.52654
1.19	3.52604	-4.65635
1.2	3.63512	-4.79026
1.21	3.75913	-4.92772
1.22	3.89655	-5.06809
1.23	4.04465	-5.2107
1.24	4.19963	-5.35465
1.25	4.35711	-5.4987
1.26	4.51275	-5.64117
1.27	4.66257	-5.78015
1.28	4.80305	-5.91389
1.29	4.9315	-6.04099
1.3	5.04624	-6.16054
1.31	5.14667	-6.27214
1.32	5.23307	-6.37583
1.33	5.30646	-6.47196
1.34	5.36826	-6.56115
1.35	5.42012	-6.64414
1.36	5.46376	-6.72171
1.37	5.50087	-6.79469
1.38	5.53307	-6.86383
1.39	5.56182	-6.92988
1.4	5.58846	-6.9935
1.41	5.61422	-7.05532
